 Dual grid iteration #           0
 phi before 1 Gauss-Seidel on mesh with M =           16
 i, j, phi
           2          17  0.19642373959677578     
           3          17  0.29396890060484016     
           4          17  0.34675996133053733     
           5          17  0.34675996133053733     
           6          17  0.29396890060484004     
           7          17  0.19642373959677578     
           8          17   6.8974844820735834E-002
           9          17  -6.8974844820735834E-002
          10          17 -0.19642373959677578     
          11          17 -0.29396890060484004     
          12          17 -0.34675996133053733     
          13          17 -0.34675996133053733     
          14          17 -0.29396890060484016     
          15          17 -0.19642373959677578     
          16          17  -6.8974844820735959E-002
          17          17  -6.8974844820735959E-002
 ------------------------------------------------------------
 phi after 1 Gauss-Seidel on mesh with M =           16
 i, j, phi
           0           0 -0.48013360434741092     
           1           0 -0.48013360434741092     
           2           0  -1.7158889509899300E-002
           3           0   7.2806668079854725E-002
           4           0 -0.19298572292027064     
           5           0 -0.39532125888900138     
           6           0 -0.40186170807510024     
           7           0 -0.28411570036087863     
           8           0 -0.12961768011416600     
           9           0   9.8438934622579535E-003
          10           0  0.10597037597663060     
          11           0  0.15322602647797598     
          12           0  0.19817385527494180     
          13           0  0.34529825069288267     
          14           0  0.59318577896721858     
          15           0  0.53833063227192779     
          16           0 -0.19298274414913114     
          17           0 -0.19298274414913114     
           0           1 -0.48013360434741092     
           1           1 -0.48013360434741092     
           2           1  -1.7158889509899300E-002
           3           1   7.2806668079854725E-002
           4           1 -0.19298572292027064     
           5           1 -0.39532125888900138     
           6           1 -0.40186170807510024     
           7           1 -0.28411570036087863     
           8           1 -0.12961768011416600     
           9           1   9.8438934622579535E-003
          10           1  0.10597037597663060     
          11           1  0.15322602647797598     
          12           1  0.19817385527494180     
          13           1  0.34529825069288267     
          14           1  0.59318577896721858     
          15           1  0.53833063227192779     
          16           1 -0.19298274414913114     
          17           1 -0.19298274414913114     
           0           2 -0.49069141256984783     
           1           2 -0.49069141256984783     
           2           2   8.1427636972197404E-002
           3           2  0.28881960028475628     
           4           2   6.5399120554460788E-002
           5           2 -0.15423045083206061     
           6           2 -0.20529695855763741     
           7           2 -0.14830360965203479     
           8           2  -7.0043535722293659E-002
           9           2  -1.8238322562110325E-002
          10           2  -1.1493365010769675E-002
          11           2  -4.2029278534637428E-002
          12           2  -4.5911537244773801E-002
          13           2  0.10308956439394221     
          14           2  0.41314133479144161     
          15           2  0.43878227081598264     
          16           2 -0.26010219491708830     
          17           2 -0.26010219491708830     
           0           3 -0.25393372438478634     
           1           3 -0.25393372438478634     
           2           3  0.23500792474046084     
           3           3  0.46717663165778855     
           4           3  0.33421367660054863     
           5           3  0.14841779585376663     
           6           3   4.7801154355969738E-002
           7           3   2.5948421097651136E-003
           8           3  -4.0282259417424492E-002
           9           3 -0.10439987761355390     
          10           3 -0.19020066087708123     
          11           3 -0.27881691535524022     
          12           3 -0.31132231988747155     
          13           3 -0.18455064647500874     
          14           3  0.11058704694634443     
          15           3  0.22652896987940807     
          16           3 -0.25773495722167428     
          17           3 -0.25773495722167428     
           0           4  -8.9824268078381397E-002
           1           4  -8.9824268078381397E-002
           2           4  0.11529928507353981     
           3           4  0.22063290608938621     
           4           4  0.14843499559429257     
           5           4   4.1083891852802895E-002
           6           4  -2.3436917801152549E-002
           7           4  -5.0637510312641597E-002
           8           4  -6.5441405388290116E-002
           9           4  -8.2546584989876645E-002
          10           4 -0.10613786941454023     
          11           4 -0.13070835047519902     
          12           4 -0.13043920841845516     
          13           4  -5.5826348620132776E-002
          14           4   9.9892626558698877E-002
          15           4  0.16808470345954057     
          16           4  -9.7859335321912072E-002
          17           4  -9.7859335321912072E-002
           0           5  -3.0602652447778461E-002
           1           5  -3.0602652447778461E-002
           2           5 -0.15604108254996746     
           3           5 -0.20585042132411940     
           4           5 -0.19745718701953408     
           5           5 -0.17934399844773935     
           6           5 -0.15202150001129711     
           7           5 -0.10344963098957771     
           8           5  -3.3998718549061224E-002
           9           5   4.5437360765049076E-002
          10           5  0.12098780058381581     
          11           5  0.17902396711232799     
          12           5  0.20545771116652423     
          13           5  0.18786670619863313     
          14           5  0.13272183151460692     
          15           5   8.6934199191910769E-002
          16           5  0.10720291025924630     
          17           5  0.10720291025924630     
           0           6  0.15809763054074788     
           1           6  0.15809763054074788     
           2           6 -0.17940843979752519     
           3           6 -0.28555001537947555     
           4           6 -0.14844155848197021     
           5           6  -1.1988397978803488E-002
           6           6   4.3961030772957307E-002
           7           6   5.5619263810451326E-002
           8           6   6.3312644740007751E-002
           9           6   8.2469811084566497E-002
          10           6  0.11387988333970808     
          11           6  0.14700094281289972     
          12           6  0.14487488956705555     
          13           6   4.2297875877780056E-002
          14           6 -0.15666889832155947     
          15           6 -0.20483218501962636     
          16           6  0.19044690986179136     
          17           6  0.19044690986179136     
           0           7  0.44466984152854994     
           1           7  0.44466984152854994     
           2           7  -4.3862992260990191E-002
           3           7 -0.18562982562943980     
           4           7   4.8421483424076608E-002
           5           7  0.25423816827501222     
           6           7  0.28780816889525940     
           7           7  0.21001917289722127     
           8           7  0.10338359010041860     
           9           7   1.5164339882979806E-002
          10           7  -3.2524435628316070E-002
          11           7  -4.0902879604834977E-002
          12           7  -6.2439296744863482E-002
          13           7 -0.20665822191395430     
          14           7 -0.47688872931244974     
          15           7 -0.46955637743154710     
          16           7  0.21728728728099425     
          17           7  0.21728728728099425     
           0           8  0.53956993111399643     
           1           8  0.53956993111399643     
           2           8 -0.12626558156128370     
           3           8 -0.37554691770864052     
           4           8 -0.13066393962880962     
           5           8  0.11789841432258150     
           6           8  0.18398136370368021     
           7           8  0.13483260279474718     
           8           8   6.6411669632185977E-002
           9           8   2.9876822503543898E-002
          10           8   4.3146498805322703E-002
          11           8   9.4304147769933622E-002
          12           8  0.10816883509872269     
          13           8  -6.0307162580052254E-002
          14           8 -0.42068351381349334     
          15           8 -0.46527635564380149     
          16           8  0.31729926874196324     
          17           8  0.31729926874196324     
           0           9  0.43059566130160232     
           1           9  0.43059566130160232     
           2           9 -0.32109424664187547     
           3           9 -0.64511333766385714     
           4           9 -0.41620688104610370     
           5           9 -0.13455670982226947     
           6           9  -3.3009884288150992E-003
           7           9   3.4727949825636970E-002
           8           9   6.6629948683218129E-002
           9           9  0.13182138271983071     
          10           9  0.23453482277022392     
          11           9  0.34933296627011945     
          12           9  0.38795805334993405     
          13           9  0.19321235711864598     
          14           9 -0.24504046021569192     
          15           9 -0.38580816438704679     
          16           9  0.39665673433176207     
          17           9  0.39665673433176207     
           0          10  0.38009505701000784     
           1          10  0.38009505701000784     
           2          10 -0.24241259040413318     
           3          10 -0.49853803640158939     
           4          10 -0.27012688057526257     
           5          10  -3.0254509881088854E-003
           6          10  0.11346488948064827     
           7          10  0.12672310213699700     
           8          10  0.11787632080653300     
           9          10  0.12933728526671223     
          10          10  0.17316698587766582     
          11          10  0.23448296230123389     
          12          10  0.24055793534264180     
          13          10   5.3804156720558355E-002
          14          10 -0.33565415532896692     
          15          10 -0.44500430636716359     
          16          10  0.30946518357495079     
          17          10  0.30946518357495079     
           0          11  0.39347135011395018     
           1          11  0.39347135011395018     
           2          11   4.8265634346537911E-003
           3          11 -0.13928318767552988     
           4          11   4.3337705720352532E-002
           5          11  0.22702050523910464     
           6          11  0.26829672374880847     
           7          11  0.20373379274642570     
           8          11  0.10382261440253202     
           9          11   1.5360414827225589E-002
          10          11  -3.6837119703584449E-002
          11          11  -5.0193539815965353E-002
          12          11  -6.9028655711399767E-002
          13          11 -0.19167809811377232     
          14          11 -0.43046875832872877     
          15          11 -0.44075419882155520     
          16          11  0.14754455232986732     
          17          11  0.14754455232986732     
           0          12  0.22292054430906016     
           1          12  0.22292054430906016     
           2          12   2.6705986531940631E-002
           3          12  -7.6762696829602933E-002
           4          12  -1.8079597699121461E-002
           5          12   5.8969002531359095E-002
           6          12   7.8702030419355556E-002
           7          12   5.2311499793220168E-002
           8          12   1.2770146683975900E-002
           9          12  -1.6605542770803856E-002
          10          12  -2.4182188174828347E-002
          11          12  -1.0519808077793118E-002
          12          12   4.4424880489307705E-005
          13          12  -4.4434003048705414E-002
          14          12 -0.15615556181747242     
          15          12 -0.17198229712175095     
          16          12   6.9337335683407789E-002
          17          12   6.9337335683407789E-002
           0          13 -0.10330999311367543     
           1          13 -0.10330999311367543     
           2          13  -8.7132081039833664E-002
           3          13 -0.13933974822607348     
           4          13 -0.20301146722475835     
           5          13 -0.21612437248498156     
           6          13 -0.17822563466814001     
           7          13 -0.11139294751889262     
           8          13  -3.2879740754134926E-002
           9          13   4.5754284677737400E-002
          10          13  0.11442641648034632     
          11          13  0.16488697848315287     
          12          13  0.19468129067839146     
          13          13  0.20746738731307468     
          14          13  0.19724227814943435     
          15          13  0.12728172201730265     
          16          13   8.1954149541668964E-003
          17          13   8.1954149541668964E-003
           0          14 -0.28978766172949905     
           1          14 -0.28978766172949905     
           2          14   3.6920060598854873E-002
           3          14  0.13723484782941109     
           4          14   1.1245603033380923E-002
           5          14  -9.4782153253675450E-002
           6          14 -0.10444287174690423     
           7          14  -6.0725921293035709E-002
           8          14  -1.2334079115717090E-002
           9          14   1.6797189070222741E-002
          10          14   1.8563001469061903E-002
          11          14  -1.5169548489883250E-003
          12          14  -8.4691421148487128E-003
          13          14   6.4241554000350046E-002
          14          14  0.21702220270307013     
          15          14  0.20975004402928743     
          16          14 -0.16036786380602264     
          17          14 -0.16036786380602264     
           0          15 -0.31040563470661409     
           1          15 -0.31040563470661409     
           2          15  0.28700326926761438     
           3          15  0.52970053396126815     
           4          15  0.35005716612727023     
           5          15  0.13905328727239313     
           6          15   4.0590554848912885E-002
           7          15   3.5031358769314278E-003
           8          15  -3.7258371500807755E-002
           9          15 -0.10651557740313547     
          10          15 -0.20239897265033807     
          11          15 -0.30182140644153910     
          12          15 -0.33590029923421538     
          13          15 -0.18665625057897134     
          14          15  0.14845211718378826     
          15          15  0.25597739694304122     
          16          15 -0.33213711570991450     
          17          15 -0.33213711570991450     
           0          16 -0.37330458719975662     
           1          16 -0.37330458719975662     
           2          16  0.37560143709391974     
           3          16  0.69727853934002526     
           4          16  0.48409648808976113     
           5          16  0.21576703698192778     
           6          16   7.9746549856878152E-002
           7          16   1.8967375199298517E-002
           8          16  -4.5917792894139706E-002
           9          16 -0.14580303249745910     
          10          16 -0.27784335367588503     
          11          16 -0.41203941366443630     
          12          16 -0.46056753123238670     
          13          16 -0.27310557987901524     
          14          16  0.15700930536817317     
          15          16  0.31147563599997696     
          16          16 -0.41894932817051739     
          17          16 -0.41894932817051739     
           0          17 -0.37330458719975662     
           1          17 -0.37330458719975662     
           2          17  0.37560143709391974     
           3          17  0.69727853934002526     
           4          17  0.48409648808976113     
           5          17  0.21576703698192778     
           6          17   7.9746549856878152E-002
           7          17   1.8967375199298517E-002
           8          17  -4.5917792894139706E-002
           9          17 -0.14580303249745910     
          10          17 -0.27784335367588503     
          11          17 -0.41203941366443630     
          12          17 -0.46056753123238670     
          13          17 -0.27310557987901524     
          14          17  0.15700930536817317     
          15          17  0.31147563599997696     
          16          17 -0.41894932817051739     
          17          17 -0.41894932817051739     
 ------------------------------------------------------------
 residual on mesh with M =           16
 i, j, residual
           0           0   68.145231149797468     
           1           0   68.145231149797468     
           2           0  -52.729074901794831     
           3           0  -70.613651711011698     
           4           0  -33.111809455155239     
           5           0  -2.3088259500641257     
           6           0   6.8424208759782843     
           7           0   6.4137386312187008     
           8           0   7.7339185634218204     
           9           0   15.155038871134026     
          10           0   28.103253910691492     
          11           0   40.020938196603964     
          12           0   34.734036177187917     
          13           0  -3.4614253304402549     
          14           0  -48.658957134344448     
          15           0  -20.627701435167488     
          16           0   54.591501931363752     
          17           0   54.591501931363752     
           0           1   68.145231149797468     
           1           1   68.145231149797468     
           2           1  -52.729074901794831     
           3           1  -70.613651711011698     
           4           1  -33.111809455155239     
           5           1  -2.3088259500641257     
           6           1   6.8424208759782843     
           7           1   6.4137386312187008     
           8           1   7.7339185634218204     
           9           1   15.155038871134026     
          10           1   28.103253910691492     
          11           1   40.020938196603964     
          12           1   34.734036177187917     
          13           1  -3.4614253304402549     
          14           1  -48.658957134344448     
          15           1  -20.627701435167488     
          16           1   54.591501931363752     
          17           1   54.591501931363752     
           0           2   29.873520664682317     
           1           2   29.873520664682317     
           2           2  -39.767851906130005     
           3           2  -37.463476028028566     
           4           2  -11.518926449183217     
           5           2   7.0188942994923664     
           6           2   12.675047443464281     
           7           2   12.473445656868382     
           8           2   12.574097383744409     
           9           2   15.573896793623257     
          10           2   21.105606426866093     
          11           2   24.161248852845507     
          12           2   13.326896351585862     
          13           2  -18.008431938696333     
          14           2  -41.402526641305059     
          15           2  -6.0080428632550067     
          16           2   33.141577736880805     
          17           2   33.141577736880805     
           0           3   28.359903805501077     
           1           3   28.359903805501077     
           2           3  -5.8933296979016134     
           3           3   5.4964658717082884     
           4           3   25.386696397632942     
           5           3   35.318004206502657     
           6           3   32.719021817152168     
           7           3   22.804374665444954     
           8           3   10.869842112118011     
           9           3  0.47031433276456891     
          10           3  -6.7480227476374477     
          11           3  -12.716684260653196     
          12           3  -24.225924337127047     
          13           3  -44.511331856741663     
          14           3  -52.276111144942227     
          15           3  -11.247893161944187     
          16           3   13.929254585735329     
          17           3   13.929254585735329     
           0           4   12.899288003161308     
           1           4   12.899288003161308     
           2           4   2.1090135979933056     
           3           4   7.0532151331535236     
           4           4   10.007890890670787     
           5           4   9.5993507534844493     
           6           4   6.7272863562159664     
           7           4   2.6522970625169915     
           8           4  -1.3698807105621515     
           9           4  -4.2718967120991040     
          10           4  -5.6207751114675659     
          11           4  -6.4880524428524691     
          12           4  -9.5764072029690404     
          13           4  -15.037969410024626     
          14           4  -13.008727933829322     
          15           4   8.8559379779866223     
          16           4 -0.59798879598939436     
          17           4 -0.59798879598939436     
           0           5  -19.572948785999948     
           1           5  -19.572948785999948     
           2           5  -6.7285618611181341     
           3           5  -10.094186210327496     
           4           5  -23.406999406807312     
           5           5  -30.510013692497662     
           6           5  -27.577858559039669     
           7           5  -18.369224299449687     
           8           5  -6.9600003523236351     
           9           5   3.9642222559442546     
          10           5   12.639282543973071     
          11           5   18.449293309180959     
          12           5   23.089812921304652     
          13           5   29.805385890751342     
          14           5   35.848149717200904     
          15           5   23.233782987385048     
          16           5  -10.220808350692220     
          17           5  -10.220808350692220     
           0           6  -39.666097399587080     
           1           6  -39.666097399587080     
           2           6   14.839542184473700     
           3           6   18.001940696685633     
           4           6  -2.3317174684974793     
           5           6  -15.706120852625423     
           6           6  -15.736465388649380     
           7           6  -9.3365070631161107     
           8           6  -3.0658375387848684     
           9           6 -0.10210102058547932     
          10           6  -1.0836061552972520     
          11           6  -3.2755807511375021     
          12           6   1.2890509354933339     
          13           6   19.874307808628259     
          14           6   37.387248212736758     
          15           6   9.7062766587978260     
          16           6  -26.094988617138277     
          17           6  -26.094988617138277     
           0           7  -38.784214473171780     
           1           7  -38.784214473171780     
           2           7   51.346435033109685     
           3           7   61.942674958076196     
           4           7   36.476524416951747     
           5           7   15.041425837922276     
           6           7   6.1690946304456666     
           7           7   1.7396730574301174     
           8           7  -5.2208646089706097     
           9           7  -16.816062162735300     
          10           7  -31.528720601734587     
          11           7  -43.045997629468587     
          12           7  -38.081954294133901     
          13           7  -6.6261100827439705     
          14           7   25.590224066779221     
          15           7  -1.1142090275010688     
          16           7  -43.042319722523480     
          17           7  -43.042319722523480     
           0           8  -41.438481360482520     
           1           8  -41.438481360482520     
           2           8   50.827924822949129     
           3           8   53.028373633175278     
           4           8   19.091741870305420     
           5           8  -6.5418057348549112     
           6           8  -14.660913623935755     
           7           8  -14.629664910967222     
           8           8  -15.005213493006943     
           9           8  -19.354673683276364     
          10           8  -27.288584419086185     
          11           8  -32.658743174050521     
          12           8  -20.969657009272435     
          13           8   17.936781914914850     
          14           8   51.703166519523691     
          15           8   12.541298586951896     
          16           8  -45.693184196718427     
          17           8  -45.693184196718427     
           0           9  -52.734073658110844     
           1           9  -52.734073658110844     
           2           9   25.416530423448009     
           3           9   17.537027552788231     
           4           9  -18.485525264866652     
           5           9  -40.601755041180951     
           6           9  -40.869470688505622     
           7           9  -29.360104655214492     
           8           9  -15.980653025687278     
           9           9  -6.3023055116431959     
          10           9  -2.0548679645548873     
          11           9   1.1704221621893325     
          12           9   16.623976332786288     
          13           9   53.245770587552649     
          14           9   77.558717434728266     
          15           9   20.079754012986442     
          16           9  -36.363022608975420     
          17           9  -36.363022608975420     
           0          10  -46.564963604262424     
           1          10  -46.564963604262424     
           2          10   25.354643965367771     
           3          10   22.823616481606095     
           4          10  -2.5799843028635845     
           5          10  -18.412437375619561     
           6          10  -19.038378552175452     
           7          10  -12.426318001722811     
           8          10  -6.0934534417774575     
           9          10  -3.9090243794464996     
          10          10  -6.4064436217334624     
          11          10  -8.8046934272626700     
          12          10  0.97436793541384858     
          13          10   30.370636333890694     
          14          10   49.787385836021016     
          15          10  0.24576771011614085     
          16          10  -29.248623097908343     
          17          10  -29.248623097908343     
           0          11  -18.358081831642679     
           1          11  -18.358081831642679     
           2          11   38.590069846093087     
           3          11   43.145846594856131     
           4          11   31.013056967749804     
           5          11   20.061640681933383     
           6          11   13.309236290293383     
           7          11   6.9929260941925921     
           8          11  -1.8003559367168958     
           9          11  -13.565179004359869     
          10          11  -26.625082381492568     
          11          11  -35.915545481355757     
          12          11  -32.120719963378612     
          13          11  -10.612870435708313     
          14          11   6.8170957079943904     
          15          11  -15.421493736040176     
          16          11  -22.709220969903804     
          17          11  -22.709220969903804     
           0          12   3.2068609196448179     
           1          12   3.2068609196448179     
           2          12   16.732156088160060     
           3          12   13.453466025657100     
           4          12   9.2187177403775600     
           5          12   5.4164020057554509     
           6          12   1.8156143274787730     
           7          12  -1.8448700122318722     
